date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:53:37	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2014%20Jul%202023%2001:53:37%20GMT	http://demogamesfree.pragmaticplay.net/gs2c/openGame.do?gameSymbol=vs20fruitsw&websiteUrl=https%3A%2F%2Fdemogamesfree.pragmaticplay.net&jurisdiction=99&lobby_url=https%3A%2F%2Fwww.pragmaticplay.com%2Fen%2F&lang=TR&cur=TRY	C:/Users/CASPER/Desktop/bonanza/bon/demogamesfree.pragmaticplay.net/gs2c/openGame.00fc5.delayed	(from )
04:53:38	73752/73752	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2001:53:37%20GMT	https://demogamesfree.pragmaticplay.net/gs2c/html5Game.do?extGame=1&symbol=vs20fruitsw&gname=Sweet%20Bonanza&jurisdictionID=99&mgckey=stylename@generic~SESSION@a1b6319b-0551-4c97-8502-53b557cd4362	C:/Users/CASPER/Desktop/bonanza/bon/demogamesfree.pragmaticplay.net/gs2c/html5Gameadc0.html	(from )
04:53:38	146/146	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Jul%202023%2001:53:38%20GMT	https://demogamesfree.pragmaticplay.net/robots.txt		(from )
04:54:11	14/14	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Jul%202023%2001:54:11%20GMT	https://demogamesfree.pragmaticplay.net/gs2c/POST	C:/Users/CASPER/Desktop/bonanza/bon/demogamesfree.pragmaticplay.net/gs2c/POST.3.delayed	(from https://demogamesfree.pragmaticplay.net/gs2c/html5Game.do?extGame=1&symbol=vs20fruitsw&gname=Sweet%20Bonanza&jurisdictionID=99&mgckey=stylename@generic~SESSION@a1b6319b-0551-4c97-8502-53b557cd4362)
04:54:20	4104/4104	---MCZ	200	added ('OK')	application/javascript	etag:W/%222abcf602eebaacf8198c170ef7f7fe2b%22	https://demogamesfree.pragmaticplay.net/gs2c/common/js/html5-script-external.js	C:/Users/CASPER/Desktop/bonanza/bon/demogamesfree.pragmaticplay.net/gs2c/common/js/html5-script-external.js	(from https://demogamesfree.pragmaticplay.net/gs2c/html5Game.do?extGame=1&symbol=vs20fruitsw&gname=Sweet%20Bonanza&jurisdictionID=99&mgckey=stylename@generic~SESSION@a1b6319b-0551-4c97-8502-53b557cd4362)
04:54:20	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2018:23:07%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/CASPER/Desktop/bonanza/bon/www.google-analytics.com/analytics.js	(from https://demogamesfree.pragmaticplay.net/gs2c/html5Game.do?extGame=1&symbol=vs20fruitsw&gname=Sweet%20Bonanza&jurisdictionID=99&mgckey=stylename@generic~SESSION@a1b6319b-0551-4c97-8502-53b557cd4362)
04:54:41	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Jul%202023%2001:54:41%20GMT	https://www.googletagmanager.com/robots.txt		(from https://demogamesfree.pragmaticplay.net/gs2c/html5Game.do?extGame=1&symbol=vs20fruitsw&gname=Sweet%20Bonanza&jurisdictionID=99&mgckey=stylename@generic~SESSION@a1b6319b-0551-4c97-8502-53b557cd4362)
04:54:42	216505/216505	---MC-	200	added ('OK')	application/javascript	date:Fri,%2014%20Jul%202023%2001:54:20%20GMT	https://www.googletagmanager.com/gtag/js?id=G-18F57V2EP0	C:/Users/CASPER/Desktop/bonanza/bon/www.googletagmanager.com/gtag/js.614b8.delayed	(from https://demogamesfree.pragmaticplay.net/gs2c/html5Game.do?extGame=1&symbol=vs20fruitsw&gname=Sweet%20Bonanza&jurisdictionID=99&mgckey=stylename@generic~SESSION@a1b6319b-0551-4c97-8502-53b557cd4362)
